,VN102_RD,VN102_C1,VN102_C2,VN102_C3,VN102_C4,VN102_C5
-5.0,4.428872297457934,3.4533590431918744,2.7301724239047354,2.4016566033575004,7.838566442963208,8.676234348125808
-4.98,4.491266696975141,3.489922120129441,2.732003883148024,2.389954817344938,7.853248699846396,8.507528220582719
-4.96,4.560322464069284,3.528540007840746,2.734652260138897,2.379352470661131,7.8712374955038085,8.335787749083584
-4.94,4.6329651213972145,3.5752144263905032,2.7373519092274257,2.3697677147413474,7.889400319517797,8.151909901759929
-4.92,4.711824550432446,3.6239029776498164,2.740513007194865,2.36142668086659,7.910377475878514,7.966591590509171
-4.9,4.794031471925506,3.6796091922656236,2.743678415684877,2.3541718090108392,7.931502754994353,7.7755114235498475
-4.88,4.881484132362612,3.7370698227207537,2.7468826188780375,2.348244468511767,7.954835213350679,7.584650567930816
-4.86,4.971761421461938,3.799624853961258,2.7500383496310716,2.343409418214854,7.978283839035475,7.39466695767298
-4.84,5.0658174419291395,3.8634534853982507,2.752757828422953,2.339909389276253,8.003047133586568,7.206441591287179
-4.82,5.161908163902151,3.9298541680368744,2.755372731443101,2.3374450566300173,8.027879621235904,7.025249200389717
-4.8,5.259880440716641,3.996897863475979,2.7570464525176317,2.3362465750078933,8.052756935422394,6.8470592540391655
-4.78,5.358865862445889,4.063949804297086,2.758561583367237,2.3359776933641694,8.077636608900315,6.6808790858765965
-4.76,5.457515065122262,4.131003806463694,2.7586494021924763,2.3368449894719223,8.100988029125933,6.518536074623825
-4.74,5.5559832267723825,4.195994681001162,2.758535978389153,2.3385149385403445,8.124259014970361,6.3715416910073355
-4.72,5.651780571118376,4.2604697736294534,2.756611370929156,2.341165907893981,8.144421603032978,6.228773549289075
-4.7,5.746139783071023,4.3215070716792905,2.75446561416209,2.3445108710003093,8.164420591212412,6.102910375148437
-4.68,5.835678199054542,4.381684921084539,2.750329513631853,2.3487040486932567,8.18013251146516,5.981259335044215
-4.66,5.922620801823878,4.437585773607795,2.745985083625735,2.3535383449325296,8.195618796563933,5.876456831083744
-4.64,6.003085789815132,4.492417376910583,2.739765688337111,2.359156230506196,8.206325111666628,5.77555544572924
-4.62,6.080062831387369,4.542298076712295,2.7333878629372763,2.3654580710266866,8.216779849401176,5.690258534796831
-4.6,6.14958394952722,4.590941050638773,2.7255841665368647,2.37259585648218,8.222629324343243,5.608402313186272
-4.58,6.215090339664959,4.633733830551422,2.717704509260738,2.3806010620441205,8.228236417033024,5.540308848863507
-4.56,6.272819820524549,4.675064061960655,2.7091412041033314,2.389666447736158,8.229810306371684,5.475204271936928
-4.54,6.326361734849687,4.709204527982068,2.700604339408976,2.3999467637088565,8.231171921849713,5.422055244595435
-4.52,6.372242363651325,4.741547552656577,2.692305438882082,2.411711994469022,8.229187006005038,5.371568559243845
-4.5,6.4139976848633244,4.765053356220336,2.6841400054126545,2.425172250212345,8.227025956932815,5.331731241852172
-4.48,6.448320693007707,4.78634985450647,2.6771757754604533,2.4407042031572947,8.222188690745424,5.294387184135256
-4.46,6.4786416864233125,4.797298667970393,2.6704437241840173,2.4584491369350774,8.217210571025628,5.267016165117654
-4.4399999999999995,6.5016077431444765,4.805660560228837,2.66580128098952,2.4788988250643365,8.2101768391633,5.242086020605764
-4.42,6.520613449337803,4.802773791598381,2.6614710076916683,2.5019817065855996,8.203034917188184,5.226919374117003
-4.4,6.532116578528385,4.79707485774578,2.6599502634636987,2.5282829355862595,8.194386435245057,5.214200178255423
-4.38,6.539579858563581,4.780090216061038,2.6587953133427233,2.5574031531205814,8.18565866067202,5.211270784902846
-4.36,6.539281171184246,4.760284147417941,2.6609325101847823,2.589968801085236,8.175925421228662,5.2108293573567455
-4.34,6.534802962889334,4.730027470974061,2.663461815880391,2.6252007231596073,8.166139262581591,5.220339793036836
-4.32,6.52239207465509,4.697158142579689,2.6695201012580387,2.6636914247016943,8.15584676764247,5.232420140157223
-4.3,6.505709743376527,4.65538171573316,2.6759757237189756,2.7042987689266993,8.145527623424814,5.254780133039088
-4.28,6.481225291717831,4.611378514273339,2.6860073799296043,2.747493120875497,8.135179405605907,5.279833773476438
-4.26,6.452539698315501,4.560480909239844,2.696428264890697,2.791852091715576,8.124829657597461,5.31566200413603
-4.24,6.416644810036947,4.507859703311539,2.7103522086063694,2.8376344856461637,8.114872932195095,5.354317793901673
-4.22,6.376867993749062,4.450598484909989,2.7246476854038413,2.8832991698148263,8.104936892193287,5.404283820086157
-4.2,6.330965550425374,4.392177263389862,2.7422869599395923,2.9288199864979654,8.095788951210308,5.457167046325239
-4.18,6.281764692543896,4.33141310677415,2.760267531693597,2.972789821355363,8.086682489123046,5.5217190727813925
-4.16,6.227899491157686,4.2700632163845595,2.781319778411184,3.014864011759085,8.07877667524782,5.589172464629046
-4.14,6.171522720191967,4.208529398846202,2.802663010947963,3.054075371963379,8.070934053383736,5.668231318041379
-4.12,6.1121474979791435,4.146949599520653,2.8266251158568783,3.0897877174794988,8.064717972308147,5.750016746419939
-4.1,6.051157725094777,4.087058960678726,2.8508027734685624,3.121718771355723,8.058587498642495,5.842708474663716
-4.08,5.988869205870052,4.027590611957691,2.8769204054047264,3.1490282465609836,8.054470555578757,5.937771727673087
-4.0600000000000005,5.925881361692816,3.971280770535435,2.9031537760371537,3.1721762220517844,8.050459587809879,6.0423210797451015
-4.04,5.863179150985905,3.9157605559378523,2.930428794935973,3.190237920113824,8.048792557133472,6.148735635880776
-4.02,5.800630742916865,3.864375030305303,2.95769847578566,3.2042613095662147,8.047248891567223,6.262611008271303
-4.0,5.739744195075058,3.814023176913983,2.9849201141931485,3.2133489884957234,8.048389693515448,6.377763621317423
-3.98,5.67975249504793,3.7682746015128994,3.011998594806152,3.21886191995698,8.049671783227623,6.498025196986053
-3.96,5.622568213342035,3.723676845609342,3.037788655268757,3.220005715623324,8.054045309139687,6.6189776942365635
-3.94,5.566895618424518,3.683735373360358,3.063289885135773,3.2181763575818962,8.058581542220201,6.74269387781467
-3.92,5.514959270889561,3.6449579720249843,3.0861916396424207,3.2127131450084296,8.066636203672115,6.866584378225096
-3.9,5.465034748868319,3.610624688200708,3.1086663297825807,3.2048555846297377,8.074876045564668,6.9911721459648195
-3.88,5.419566370599384,3.577402433754332,3.1272974406242504,3.1940715991555146,8.08698176058425,7.115515639434517
-3.8600000000000003,5.376497454350957,3.5482779280223795,3.14539157164209,3.18137777314045,8.09929094261056,7.238882035824088
-3.84,5.338369109201264,3.520177859469149,3.158652884245336,3.166349697575263,8.115662766119181,7.361671434825895
-3.8200000000000003,5.302901071566312,3.4957721312739505,3.171314369096231,3.1498095775510526,8.132248412863758,7.482152844276579
-3.8,5.272596866650685,3.472289988168365,3.178577404175833,3.1314214031878738,8.152913798678977,7.601790261488295
-3.7800000000000002,5.245073187045781,3.452076551409126,3.1852320621878407,3.111876235070726,8.173793907603223,7.718051709744047
-3.76,5.2227113237567595,3.432680291236566,3.186411326591361,3.0909169634763827,8.198591703248296,7.833264945053279
-3.74,5.203128900022318,3.4161240670046444,3.1870233837656556,3.0691568302423207,8.22359569293192,7.944285328578841
-3.7199999999999998,5.188545244651184,3.4002778517584136,3.1825305758778106,3.0464178661163324,8.252205001302466,8.054113957441771
-3.7,5.1766532337831705,3.3868646713651542,3.177550442083232,3.0232528427860346,8.281004063288092,8.159175567664809
-3.6799999999999997,5.169465028928584,3.37405974968512,3.168184375129046,2.9995670804282506,8.313002915120272,8.262934327146885
-3.66,5.1648096426966505,3.3633320554718673,3.1584359582835333,2.975830698008731,8.34517017694433,8.36148168366572
-3.6399999999999997,5.1644316637758765,3.353123668125295,3.145246392416861,2.9520324466248673,8.380086091401687,8.458592783608674
-3.62,5.166356904176529,3.3447060061838014,3.1317898928033285,2.928527664174024,8.415146671787072,8.549958857248754
-3.6,5.171992191908803,3.3367360255935643,3.1159309894686027,2.905381565974649,8.452421118735227,8.639668696983241
-3.58,5.179625197435057,3.330340247528083,3.0999163385316186,2.8828218949009057,8.489812084976185,8.722753601095167
-3.56,5.190254636055761,3.3243380200937795,3.0824999591746285,2.8609789680918203,8.528656050758688,8.803822407633335
-3.54,5.202497538650425,3.319756173066643,3.065022626269082,2.8399538475492294,8.567576490201287,8.876826823876236
-3.52,5.216905857142126,3.3155294211412887,3.0469967114265133,2.8199282679990167,8.606788663502211,8.947297528719831
-3.5,5.2324801688091735,3.3126302252704476,3.028982472936678,2.800878826876278,8.646016191216736,9.007633387965917
-3.48,5.249329865280874,3.3100629184132258,3.0110733216214465,2.7830224438315576,8.683874490206614,9.064797036741588
-3.46,5.266866307416629,3.3087976387065408,2.993228395050991,2.7662213887488556,8.72166072452676,9.109271843635238
-3.44,5.284790809909774,3.3078578657874806,2.975961491183526,2.750710178953178,8.756009221431217,9.149915796478464
-3.42,5.302924267979977,3.3082502449566964,2.958797029490077,2.7362640737656134,8.790176784787443,9.175236333119555
-3.4,5.320612930014737,3.308975662147972,2.942554547362788,2.7231197630991892,8.8187396975677,9.19619782633641
-3.38,5.338062086491948,3.311067844125727,2.9264418144522737,2.710999870531084,8.847007628738632,9.19972314585583
-3.3600000000000003,5.354316727632379,3.313501717300141,2.9114968244927644,2.7001320445276993,8.867788728759585,9.198630290880786
-3.34,5.369928168206842,3.317283657544973,2.8966978911226415,2.6902096016706833,8.888175785035717,9.179064737927378
-3.3200000000000003,5.383701944527895,3.3214026145574476,2.8832134670570335,2.681442627103774,8.899785807875542,9.154951965097862
-3.3,5.396486209327867,3.3267802430007665,2.869880682386909,2.6735144003377203,8.91093388158704,9.1126503127634
-3.2800000000000002,5.406947330331295,3.3324725393018326,2.857912652276167,2.6666113097728026,8.912807299997569,9.066185964300933
