,0,1,2,3,4,5,6,7,8,9,10,11
-15.0,-0.18250635134848800,-0.18881036296263300,-0.18655072977357800,-0.18661199286744600,-0.1805269728138670,-0.18085123037087200,-0.18333274347066100,-0.17695817350959600,-0.19641608090149800,-0.18208074889355500,-0.18626785036173900,-0.18248752976379700
-14.95,-0.18281920163192700,-0.18824120323049100,-0.18696007522174000,-0.1867732302952940,-0.18069018677573300,-0.18103454898002300,-0.18414212592946800,-0.17736417416185300,-0.19678875392507300,-0.1811635082075220,-0.18635670059558200,-0.18258352832038900
-14.9,-0.18308735582647900,-0.18777459245674600,-0.18731363075391900,-0.18696430147246800,-0.18082810073763000,-0.18119293813643800,-0.18482105297800300,-0.17764766547000700,-0.19710033795173100,-0.18039973708834600,-0.18642671289955500,-0.1826698657068570
-14.85,-0.18327760996523800,-0.18747075240948400,-0.18757050507041500,-0.18717740297005200,-0.1809234726225770,-0.18131109153757000,-0.18529043824227200,-0.177754003631239,-0.1973114154086090,-0.17988298532016800,-0.1864691072894220,-0.18273641141344700
-14.8,-0.18337965160501700,-0.18734247179225300,-0.18771817009611300,-0.18740050835975900,-0.18097218873955500,-0.18138606965688700,-0.185536270151207,-0.17767523189369500,-0.19741073981369600,-0.17963406534774800,-0.18648294804391700,-0.18278111388791400
-14.75,-0.18340502492054500,-0.18736063819743100,-0.18777093675746700,-0.18761914032130900,-0.18098146503990000,-0.18142536527697100,-0.18560167913942700,-0.1774438967409200,-0.19741375170014500,-0.17961022998116100,-0.18647419668461900,-0.182808818136536
-14.7,-0.18337927271493000,-0.18747240569415400,-0.18776015493994700,-0.18781917360159600,-0.18096474782587400,-0.18144197518249500,-0.1855614272878450,-0.17711487202860800,-0.1973524509003430,-0.17973358602570400,-0.18645280724430600,-0.18282758230688200
-14.65,-0.18333172229182800,-0.18762182877646500,-0.18772140203655700,-0.18798981008392800,-0.18093634586526300,-0.1814491974475020,-0.18549262340516000,-0.17674551274811800,-0.1972621760119310,-0.17992267292278400,-0.18642939725008500,-0.18284493206581200
-14.6,-0.18328685336762500,-0.18776514707826100,-0.1876834429267600,-0.18812609017474100,-0.18090765675597900,-0.18145695661212900,-0.18545233588356500,-0.1763816001042180,-0.1971707095744230,-0.18011519126336400,-0.18641266643698900,-0.18286561099303300
-14.55,-0.18325944816019700,-0.18787732795263600,-0.18766206382063300,-0.18823026402682800,-0.1808855995036080,-0.18147010525056300,-0.18546708872691200,-0.17605178241322000,-0.19709282816305300,-0.18027712100808500,-0.18640800732836400,-0.18289115077881100
-14.5,-0.18325392604549600,-0.1879508616780010,-0.18765958572360100,-0.18831132513630100,-0.18087297964528600,-0.1814882186144780,-0.18553419782382200,-0.1757692081994140,-0.19703067307246800,-0.18039993002503800,-0.18641709859878100,-0.1829207794598610
